Entity,Year,"Estimates, 1950 - 2020: Annually interpolated demographic indicators - Deaths (thousands)","Estimates, 1950 - 2020: Annually interpolated demographic indicators - Births (thousands)"
World,1950,51344793,97375317
World,1951,51137291,97429766
World,1952,50778719,97655000
World,1953,50533090,98112829
World,1954,50400358,98803235
World,1955,50377233,99725288
World,1956,50452237,100874502
World,1957,50610029,102239146
World,1958,50820915,103799696
World,1959,51032741,105525371
World,1960,51186550,107374821
World,1961,51223264,109298087
World,1962,51089292,111234454
World,1963,50758026,113119839
World,1964,50240363,114895919
World,1965,49585336,116511221
World,1966,48870513,117933923
World,1967,48187690,119167280
World,1968,47608042,120214393
World,1969,47162218,121065655
World,1970,46852299,121681474
World,1971,46650596,122020800
World,1972,46501726,122109507
World,1973,46364735,122012235
World,1974,46231827,121812402
World,1975,46108074,121634843
World,1976,46009796,121615449
World,1977,45960393,121856427
World,1978,45975911,122430299
World,1979,46058370,123373745
World,1980,46204190,124740190
World,1981,46404009,126554313
World,1982,46642424,128703855
World,1983,46906250,131029236
World,1984,47189045,133376961
World,1985,47490005,135507655
World,1986,47813033,137170100
World,1987,48162618,138230999
World,1988,48538975,138634320
World,1989,48936552,138390313
World,1990,49347791,137597902
World,1991,49764300,136436000
World,1992,50177722,135161797
World,1993,50580510,133995938
World,1994,50967116,133057321
World,1995,51335925,132414320
World,1996,51689048,132065189
World,1997,52030524,131916649
World,1998,52361735,131894787
World,1999,52679836,131991414
World,2000,52978353,132214160
World,2001,53249602,132577968
World,2002,53489264,133082317
World,2003,53696120,133710591
World,2004,53871987,134433017
World,2005,54016094,135211570
World,2006,54128359,136006145
World,2007,54218245,136778920
World,2008,54299904,137495393
World,2009,54388442,138128933
World,2010,54498936,138663627
World,2011,54644548,139098870
World,2012,54836846,139454437
World,2013,55088432,139746195
World,2014,55412196,139975840
World,2015,55822989,140139133
World,2016,56331837,140229681
World,2017,56935173,140248778
World,2018,57625149,140204090
World,2019,58394378,140108052
World,2020,59230795,139975303
World,2021,60119439,139821086